vm, vb
2.342736 ,  3.2
2.415946 ,  3.3
2.489157 ,  3.4
2.562367 ,  3.5
2.635578 ,  3.6
2.708788 ,  3.7
2.781999 ,  3.8
2.855209 ,  3.9
2.92842 ,  4.0
2.93275 ,  4.054
3.00163 ,  4.1

