vm, vb
2.129375 ,  6.3
2.164906 ,  6.4
2.197645 ,  6.5
2.23 ,  6.6
2.230969 ,  6.7
2.26361 ,  6.8
2.298156 ,  6.9
2.364712 ,  7.0
2.402375 ,  7.1
2.435156 ,  7.2
2.4688 ,  7.3
2.466984 ,  7.4
2.503416 ,  7.5
2.538055 ,  7.6
2.606547 ,  7.7
2.60425 ,  7.8
2.673762 ,  7.9
2.706445 ,  8.0
2.708914 ,  8.1
2.739847 ,  8.2
2.773871 ,  8.3
2.831112 ,  8.4
